Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
0,616332.0,925.699,-8.54219,-5.4612,-0.386281,0,0,6995.36,111960,920.691,136922,736.961,112248.0,704.368
3,615308.0,927.47,-8.56236,-5.47998,-0.392643,0,0,6322.9,105191,925.076,137639,740.214,109451.0,701.54
6,610297.0,928.596,-8.52642,-5.46067,-0.408144,0,0,5420.21,103343,927.34,131095,733.868,107161.0,696.643
9,601284.0,928.746,-8.42815,-5.39822,-0.431994,0,0,4592.95,101492,928.284,124561,727.066,104430.0,691.45
12,588446.0,927.659,-8.26524,-5.29042,-0.463039,0,0,3723.5,99441,927.604,118483,720.446,101882.0,686.152
15,572102.0,925.144,-8.03881,-5.13763,-0.499785,0,0,2817.81,102003,925.138,112265,713.077,99578.6,680.859
18,552746.0,921.106,-7.75426,-4.94341,-0.540548,0,0,2016.17,105126,928.357,106391,705.541,97514.9,675.485
21,530978.0,915.543,-7.4202,-4.71371,-0.583578,0,0,1446.73,107566,932.931,102962,701.409,96017.6,672.185
24,507453.0,908.535,-7.04746,-4.4562,-0.627201,0,0,1036.07,110870,939.055,101730,700.741,95234.1,671.823
27,482829.0,900.224,-6.64785,-4.17932,-0.669938,0,0,842.938,114683,945.814,101826,702.4,94938.9,673.798
30,457583.0,890.538,-6.22775,-3.88739,-0.710105,0,0,865.903,116893,949.624,103404,706.796,94991.6,678.142
33,432384.0,879.917,-5.80299,-3.59208,-0.747151,0,0,1142.64,119258,953.698,106811,714.642,95608.8,684.581
36,407680.0,868.603,-5.38315,-3.30033,-0.780515,0,0,1546.06,121978,958.278,111036,724.089,96701.8,691.674
39,383801.0,856.808,-4.97542,-3.01734,-0.809865,0,0,2073.98,124166,961.865,115182,733.427,97614.6,696.69
42,360986.0,844.728,-4.58522,-2.74701,-0.835105,0,0,2839.68,126091,965.007,119629,743.129,98541.4,699.684
45,339384.0,832.53,-4.2161,-2.4919,-0.856288,0,0,3767.72,128448,968.802,123841,752.518,99388.5,702.335
48,319073.0,820.351,-3.87014,-2.25349,-0.873583,0,0,4683.56,131020,972.852,127324,760.546,99804.8,704.876
51,300081.0,808.304,-3.54824,-2.03239,-0.887229,0,0,5681.08,133567,976.79,130558,767.769,99810.8,707.056
54,282360.0,796.368,-3.24894,-1.82743,-0.89722,0,0,6712.06,136497,981.249,133491,773.002,99534.6,708.353
57,265828.0,784.452,-2.96976,-1.63671,-0.903391,0,0,7701.55,139948,986.378,136002,777.121,99012.8,709.291
60,250543.0,772.895,-2.71399,-1.46273,-0.906874,0,0,8636.81,143541,991.578,138133,780.094,98196.6,709.799
63,236446.0,761.737,-2.48045,-1.30461,-0.908042,0,0,9527.39,147043,996.533,140090,782.437,97115.4,710.129
66,223471.0,751.007,-2.26779,-1.16131,-0.907253,0,0,10394.5,150447,1001.25,142112,784.278,95904.3,710.436
69,211545.0,740.721,-2.07448,-1.03171,-0.904829,0,0,11289.3,153621,1005.56,144348,785.54,94657.6,710.654
72,200585.0,730.855,-1.89865,-0.914395,-0.900946,0,0,12274.5,156448,1009.33,146942,786.058,93477.9,711.285
75,190536.0,721.458,-1.73938,-0.808699,-0.896037,0,0,13273.3,158963,1012.65,149950,785.607,92784.9,711.71
78,181335.0,712.53,-1.59529,-0.713601,-0.890377,0,0,14189.9,161216,1015.58,153257,783.614,92769.7,711.879
81,172917.0,704.066,-1.46504,-0.628097,-0.884182,0,0,14999.2,163029,1017.91,156391,778.265,92995.1,710.539
84,165207.0,695.962,-1.34647,-0.550578,-0.877348,0,0,15611.9,164139,1019.32,158941,771.077,93324.4,708.384
87,158222.0,688.252,-1.23932,-0.48072,-0.870463,0,0,15844.6,164804,1020.19,160874,764.99,94371.0,706.893
90,151990.0,681.172,-1.14492,-0.419519,-0.86473,0,0,15656.9,165406,1020.98,162407,760.916,96412.9,707.57
93,146336.0,674.577,-1.06033,-0.364988,-0.859404,0,0,15225.8,166175,1021.98,163537,758.134,98909.2,709.229
96,141182.0,668.415,-0.984151,-0.316156,-0.854338,0,0,14669.9,166795,1022.77,163786,755.561,101317.0,710.893
99,136478.0,662.661,-0.915478,-0.272378,-0.849548,0,0,14019.8,166753,1022.73,163349,754.138,103770.0,713.338
102,132185.0,657.293,-0.853512,-0.233093,-0.845049,0,0,13202.2,166309,1022.18,162509,752.504,106335.0,715.506
105,128263.0,652.29,-0.797565,-0.197816,-0.840857,0,0,12305.3,165249,1020.82,161430,751.139,108783.0,717.158
108,124682.0,647.63,-0.747015,-0.166108,-0.836977,0,0,11367.0,162906,1017.74,159601,749.13,110728.0,717.66
111,121412.0,643.297,-0.701333,-0.1376,-0.83342,0,0,10485.2,158809,1012.27,156549,745.841,111494.0,716.085
