Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
0,592553.0,928.749,-8.33041,-7.06377,-0.376067,-3.23149,-0.0443795,6712.11,125982,925.055,151183,752.837,108394.0,706.918
3,591923.0,931.352,-8.36812,-7.09219,-0.382919,-3.23943,-0.0442673,5537.47,120048,929.635,150365,751.796,106470.0,704.878
6,587615.0,933.552,-8.35689,-7.0797,-0.398951,-3.22776,-0.0438896,4837.15,119046,932.666,143515,743.214,105140.0,701.182
9,579532.0,934.909,-8.28765,-7.01926,-0.423375,-3.19437,-0.0432505,4163.81,116749,934.581,136388,733.882,103421.0,696.706
12,567773.0,935.065,-8.15543,-6.90707,-0.455052,-3.13847,-0.0423652,3476.12,113697,935.026,129593,724.77,101684.0,692.062
15,552585.0,933.746,-7.95905,-6.74242,-0.492493,-3.06049,-0.0412571,2710.34,114876,933.742,122192,714.454,100030.0,687.158
18,534405.0,930.794,-7.70217,-6.52847,-0.534011,-2.96236,-0.0399592,1951.28,115526,928.803,114396,703.181,98537.8,682.22
21,513788.0,926.162,-7.39225,-6.27142,-0.577835,-2.84714,-0.0385103,1374.01,115009,927.84,109561,695.991,97634.1,678.776
24,491359.0,919.905,-7.03956,-5.97966,-0.622256,-2.71863,-0.0369514,943.934,114593,927.15,106943,691.831,97145.2,676.414
27,467759.0,912.16,-6.65579,-5.66275,-0.665754,-2.58098,-0.0353233,671.989,114261,926.411,105493,689.488,96832.7,674.997
30,443590.0,903.121,-6.25292,-5.3304,-0.707087,-2.43826,-0.0336635,536.375,112683,923.562,105429,689.459,96756.8,674.846
33,419289.0,892.799,-5.83808,-4.9885,-0.74492,-2.29933,-0.0320788,508.594,112022,922.525,107141,692.487,97087.1,676.693
36,395366.0,881.555,-5.42366,-4.64703,-0.778803,-2.15619,-0.0304397,678.432,113811,925.712,111179,699.259,97972.6,680.754
39,372197.0,869.708,-5.01906,-4.3136,-0.808538,-2.0173,-0.0288495,1016.57,118416,933.547,116549,707.919,98882.5,685.404
42,350030.0,857.478,-4.6303,-3.99306,-0.834035,-1.88446,-0.0273236,1428.53,124420,943.16,121668,715.908,99478.8,688.67
45,329022.0,845.056,-4.26143,-3.6887,-0.855361,-1.75883,-0.0258713,1873.58,130186,951.972,126097,722.618,100027.0,690.518
