Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
0,599167.0,890.486,-7.72577,-6.60509,-0.356957,0,0,4724.34,99002.2,884.619,125522.0,724.311,114961.0,691.567
3,598540.0,892.711,-7.75946,-6.63041,-0.363386,0,0,4547.57,91525.5,889.806,126145.0,728.291,112399.0,689.952
6,594100.0,894.413,-7.74387,-6.61446,-0.378383,0,0,3745.79,88765.1,892.845,120871.0,723.0,109941.0,685.66
9,585782.0,895.216,-7.6712,-6.55117,-0.401198,0,0,3106.81,87717.3,894.644,115493.0,717.146,106704.0,680.548
12,573714.0,894.814,-7.53753,-6.43761,-0.430739,0,0,2497.71,87623.6,894.748,110345.0,711.028,103279.0,675.166
15,558176.0,892.978,-7.3425,-6.27373,-0.465583,0,0,1877.58,92148.1,892.972,105408.0,704.812,100162.0,669.64
18,539625.0,889.587,-7.09023,-6.06304,-0.504117,0,0,1334.22,97942.5,900.8,100846.0,698.671,97391.1,664.07
21,518637.0,884.615,-6.78831,-5.81187,-0.544659,0,0,924.404,103399.0,911.721,98060.6,695.013,95330.9,661.622
24,495849.0,878.129,-6.44681,-5.52846,-0.58559,0,0,655.769,109210.0,922.816,96901.0,694.058,94032.9,663.104
27,471910.0,870.269,-6.07705,-5.22208,-0.62548,0,0,567.282,114725.0,932.75,97013.5,695.501,93530.4,666.917
30,447427.0,861.224,-5.69043,-4.90203,-0.663164,0,0,667.257,118151.0,938.667,98524.1,699.719,93725.7,672.766
33,422939.0,851.21,-5.29759,-4.57696,-0.697787,0,0,927.556,119575.0,941.071,100816.0,705.59,94263.1,678.733
36,398887.0,840.459,-4.90769,-4.25431,-0.728794,0,0,1315.67,120046.0,941.896,103671.0,712.502,95028.4,684.627
39,375606.0,829.184,-4.5279,-3.93993,-0.755878,0,0,1893.13,120379.0,942.499,107274.0,720.685,96110.9,690.03
42,353338.0,817.585,-4.16369,-3.63825,-0.778964,0,0,2643.41,120679.0,943.05,111036.0,729.176,97238.2,694.276
45,332239.0,805.836,-3.81871,-3.35225,-0.798122,0,0,3536.61,121524.0,944.529,114555.0,736.893,98327.9,697.721
48,312300.0,793.845,-3.49154,-3.08086,-0.812934,0,0,4517.22,123464.0,947.811,117509.0,742.455,99108.2,700.256
51,293598.0,781.82,-3.18503,-2.82638,-0.823821,0,0,5452.99,126208.0,952.323,119656.0,746.131,99312.3,702.135
54,276188.0,770.006,-2.90177,-2.59086,-0.83146,0,0,6290.08,129200.0,957.121,121262.0,748.397,99115.1,703.537
57,260039.0,758.474,-2.64132,-2.37397,-0.836197,0,0,7074.27,132273.0,961.933,122680.0,749.728,98748.1,704.808
60,245104.0,747.282,-2.40285,-2.17505,-0.838392,0,0,7818.95,135268.0,966.514,123945.0,749.794,98225.4,705.688
63,231326.0,736.47,-2.18526,-1.99322,-0.838405,0,0,8541.6,137850.0,970.38,125048.0,748.113,97490.5,705.428
66,218641.0,726.068,-1.98726,-1.82746,-0.836583,0,0,9321.64,139991.0,973.543,126253.0,744.621,96577.9,703.812
69,206979.0,716.093,-1.80744,-1.67664,-0.833234,0,0,10265.8,141989.0,976.466,127911.0,739.32,95567.8,700.669
72,196259.0,706.519,-1.64399,-1.53929,-0.828522,0,0,11419.5,143920.0,979.256,129990.0,731.168,94476.8,695.485
75,186406.0,697.313,-1.4952,-1.41405,-0.822591,0,0,12674.5,145670.0,981.753,132398.0,721.224,93594.7,688.977
78,177332.0,688.35,-1.35855,-1.2989,-0.815256,0,0,13790.8,147277.0,984.027,134967.0,714.186,93420.7,684.892
81,169034.0,679.858,-1.2353,-1.19482,-0.807502,0,0,14699.8,148709.0,986.031,137245.0,709.635,93649.0,682.648
84,161462.0,671.837,-1.12433,-1.10092,-0.799586,0,0,15418.5,149475.0,987.093,139010.0,707.461,93960.3,681.692
87,154623.0,664.35,-1.02539,-1.01703,-0.792128,0,0,15820.8,149698.0,987.423,140382.0,706.96,94607.9,681.598
90,148515.0,657.463,-0.938228,-0.942974,-0.785743,0,0,15715.6,149852.0,987.674,141636.0,707.747,96174.7,682.443
93,142984.0,651.063,-0.860414,-0.876719,-0.779884,0,0,15198.0,150123.0,988.085,142759.0,709.071,98514.2,683.511
96,137946.0,645.087,-0.790487,-0.817054,-0.774343,0,0,14418.5,150109.0,988.091,143323.0,710.016,101127.0,683.875
99,133348.0,639.507,-0.727534,-0.763229,-0.769105,0,0,13474.2,149631.0,987.444,143399.0,710.753,103870.0,682.682
102,129150.0,634.299,-0.670795,-0.714618,-0.764176,0,0,12320.5,148729.0,986.198,143253.0,711.749,106817.0,681.498
105,125316.0,629.443,-0.619611,-0.670681,-0.759565,0,0,11043.0,147446.0,984.396,143054.0,713.253,109976.0,681.82
108,121813.0,624.919,-0.573407,-0.630944,-0.755277,0,0,9730.58,145204.0,981.175,142167.0,714.435,112678.0,682.651
111,118613.0,620.71,-0.531697,-0.595004,-0.751326,0,0,8601.48,141465.0,975.7,140084.0,714.504,113989.0,682.535
114,115691.0,616.802,-0.494032,-0.562491,-0.747707,0,0,7670.46,136677.0,968.516,137060.0,713.672,113892.0,681.246
117,113021.0,613.173,-0.459987,-0.533051,-0.744395,0,0,6721.21,131827.0,961.031,133749.0,712.65,113278.0,679.818
120,110582.0,609.81,-0.429215,-0.506396,-0.741384,0,0,5697.68,127120.0,953.545,130004.0,711.424,112375.0,678.515
123,108359.0,606.705,-0.401464,-0.482317,-0.7387,0,0,4727.18,121891.0,944.938,125352.0,708.675,110740.0,675.835
126,106340.0,603.858,-0.376546,-0.460657,-0.736395,0,0,3899.09,115777.0,934.425,120028.0,704.337,108258.0,671.594
129,104513.0,601.263,-0.354277,-0.441262,-0.734504,0,0,3170.33,110005.0,924.002,114773.0,699.405,105334.0,666.628
132,102858.0,598.876,-0.334195,-0.423756,-0.732875,0,0,2446.25,104843.0,914.259,109639.0,693.985,102348.0,661.334
135,101359.0,596.659,-0.315936,-0.40784,-0.731385,0,0,1771.24,100233.0,596.658,104787.0,688.215,99533.8,655.914
138,100010.0,594.643,-0.299595,-0.393583,-0.730174,0,0,1234.26,96591.0,594.631,101136.0,683.828,97256.6,651.87
141,98801.5,592.8,-0.28492,-0.380779,-0.729177,0,0,810.735,96027.8,592.783,98760.9,681.306,95634.0,650.157
144,97724.3,591.107,-0.271667,-0.369232,-0.728318,0,0,521.883,96700.9,591.093,97447.6,680.521,94656.3,650.909
