Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
0,590700.0,958.589,-6.65754,-7.43458,-0.391871,-1.03018,-0.0145355,4627.93,98320.6,952.46,122227.0,774.878,112407.0,737.502
3,590233.0,961.33,-6.70229,-7.46501,-0.399064,-1.0333,-0.0145023,4668.76,91420.2,958.329,122098.0,778.032,108682.0,734.567
6,586074.0,963.621,-6.70506,-7.45203,-0.415799,-1.03009,-0.0143818,3953.55,89538.5,962.03,116803.0,772.241,105743.0,729.934
9,578135.0,965.021,-6.65678,-7.38873,-0.441278,-1.01986,-0.0141753,3206.78,88664.8,964.443,112016.0,766.79,103060.0,725.931
12,566515.0,965.174,-6.55216,-7.27158,-0.474335,-1.00233,-0.0138879,2432.34,88065.2,965.107,107541.0,761.397,100553.0,722.006
15,551468.0,963.806,-6.38952,-7.10011,-0.513447,-0.977632,-0.0135273,1717.26,92471.2,963.799,103258.0,755.821,98265.3,717.968
18,533429.0,960.762,-6.17175,-6.8778,-0.556878,-0.946389,-0.0131043,1154.38,97559.5,971.144,99827.0,751.243,96458.2,714.886
21,512954.0,956.0,-5.90538,-6.61115,-0.602809,-0.909584,-0.0126316,774.59,102350.0,981.488,98345.6,749.862,95483.4,715.533
24,490667.0,949.58,-5.59959,-6.30888,-0.649482,-0.868447,-0.0121226,566.29,108286.0,993.712,98096.6,750.797,95064.9,719.185
27,467205.0,941.641,-5.26505,-5.98082,-0.69533,-0.824323,-0.0115907,540.078,113907.0,1004.58,98775.3,753.679,95073.2,724.512
30,443173.0,932.386,-4.91272,-5.63699,-0.739069,-0.778536,-0.0110483,683.868,116935.0,1010.21,100375.0,758.593,95515.6,730.164
33,419106.0,922.049,-4.55294,-5.28675,-0.779745,-0.732295,-0.0105063,930.684,118455.0,1013.04,102396.0,764.45,96059.5,735.627
36,395442.0,910.876,-4.19463,-4.93813,-0.816714,-0.686613,-0.0099733,1347.59,119644.0,1015.26,105097.0,771.637,96795.0,740.73
39,372507.0,899.082,-3.84452,-4.59725,-0.849559,-0.643821,-0.00947894,2010.4,120288.0,1016.47,108364.0,779.907,97539.3,745.077
42,350419.0,886.565,-3.50299,-4.26486,-0.877429,-0.60111,-0.0089794,2912.89,120906.0,1017.65,111603.0,787.774,98007.7,748.238
45,329478.0,873.852,-3.17956,-3.94904,-0.901036,-0.560716,-0.00850384,3978.78,122446.0,1020.49,114413.0,794.032,98201.0,750.322
48,309771.0,861.107,-2.87648,-3.65186,-0.920549,-0.522852,-0.00805405,5023.54,124793.0,1024.67,116585.0,798.444,98076.7,751.93
51,291329.0,848.46,-2.59484,-3.37431,-0.936215,-0.487601,-0.00763075,5995.25,127311.0,1029.05,118290.0,801.264,97660.1,753.151
54,274149.0,836.011,-2.33486,-3.11666,-0.948333,-0.454955,-0.00723396,6921.52,129987.0,1033.62,119687.0,802.967,97014.2,754.038
57,258201.0,823.843,-2.0962,-2.87865,-0.957246,-0.424853,-0.00686325,7811.53,132778.0,1038.28,120962.0,803.419,96210.3,754.789
60,243443.0,812.02,-1.87811,-2.65969,-0.96332,-0.397193,-0.00651791,8658.63,135263.0,1042.33,122199.0,802.181,95310.4,754.727
63,229822.0,800.586,-1.67957,-2.45892,-0.966927,-0.37185,-0.00619698,9529.23,137197.0,1045.45,123517.0,798.76,94372.7,753.197
66,217183.0,789.24,-1.49558,-2.27222,-0.967398,-0.349516,-0.00591417,10536.8,138972.0,1048.3,125122.0,792.876,93413.5,749.878
69,205558.0,778.336,-1.32887,-2.10177,-0.96603,-0.328206,-0.00563667,11635.5,140734.0,1051.08,127217.0,784.057,92740.9,744.905
72,194873.0,767.87,-1.1779,-1.94622,-0.963071,-0.308752,-0.00537997,12677.7,142414.0,1053.71,129814.0,772.442,92710.2,738.715
75,185084.0,757.907,-1.04196,-1.80499,-0.959032,-0.291061,-0.00514319,13672.5,144055.0,1056.26,132455.0,764.055,93019.8,734.513
78,176127.0,748.447,-0.919737,-1.67692,-0.95419,-0.274573,-0.00491764,14612.6,145711.0,1058.79,134895.0,758.787,93416.3,732.188
81,167939.0,739.485,-0.809923,-1.56086,-0.948783,-0.258693,-0.00469353,15270.3,147034.0,1060.79,136904.0,756.501,94148.5,731.704
84,160489.0,731.043,-0.71169,-1.45616,-0.943228,-0.243452,-0.00447184,15396.7,147681.0,1061.78,138522.0,755.783,95708.1,732.629
87,153818.0,723.232,-0.625165,-1.36317,-0.938491,-0.229048,-0.00425615,15023.9,147973.0,1062.26,139839.0,756.845,98044.8,734.539
90,147832.0,716.021,-0.548897,-1.28049,-0.934562,-0.215407,-0.00404606,14387.9,148261.0,1062.75,141054.0,758.547,100761.0,736.015
93,142390.0,709.293,-0.480793,-1.20602,-0.930885,-0.202305,-0.00383879,13692.2,148716.0,1063.48,142080.0,760.252,103407.0,736.105
96,137427.0,703.006,-0.419758,-1.13869,-0.927375,-0.18966,-0.00363355,12913.9,148883.0,1063.76,142641.0,761.774,105993.0,734.123
99,132880.0,697.052,-0.364353,-1.07723,-0.923751,-0.177631,-0.00343407,12022.6,148453.0,1063.16,142783.0,763.328,108628.0,732.384
102,128705.0,691.373,-0.313657,-1.0208,-0.919889,-0.16561,-0.00322934,11012.2,147428.0,1061.65,142620.0,765.119,111144.0,731.914
105,124891.0,686.074,-0.26807,-0.969662,-0.91627,-0.153896,-0.0030253,10084.5,145887.0,1059.34,142002.0,766.909,112964.0,731.926
108,121407.0,681.135,-0.227061,-0.923301,-0.912916,-0.142437,-0.00282142,9311.82,143331.0,1055.41,140237.0,767.624,113391.0,731.062
111,118225.0,676.539,-0.190152,-0.88126,-0.909832,-0.131175,-0.00261694,8516.43,139370.0,1049.17,137450.0,767.321,113041.0,729.71
114,115316.0,672.262,-0.156889,-0.843099,-0.906999,-0.120036,-0.00241078,7600.77,134633.0,1041.52,134179.0,766.485,112417.0,728.586
117,112657.0,668.289,-0.126902,-0.808454,-0.904411,-0.108936,-0.00220158,6653.78,130085.0,1033.96,130650.0,765.691,111366.0,727.274
120,110230.0,664.607,-0.0998991,-0.777039,-0.902092,-0.0977787,-0.00198767,5760.47,125651.0,1026.38,126518.0,763.824,109566.0,724.901
123,108021.0,661.215,-0.0756742,-0.748649,-0.900101,-0.0864488,-0.00176689,4899.8,120360.0,1016.99,121593.0,760.194,107211.0,721.216
126,106017.0,658.109,-0.0540363,-0.723094,-0.898489,-0.0747668,-0.00153578,4032.45,114062.0,1005.33,116376.0,755.486,104725.0,716.851
129,104203.0,655.276,-0.0347572,-0.700152,-0.89726,-0.0624091,-0.00128783,3171.4,108189.0,993.907,111592.0,750.826,102358.0,712.652
132,102565.0,652.694,-0.0175574,-0.679555,-0.896362,-0.0486943,-0.00100907,2303.26,102977.0,983.34,107127.0,746.035,100173.0,708.674
135,101087.0,650.33,-0.0021284,-0.66101,-0.895698,-0.0316557,-0.000658565,1552.78,98239.4,650.325,103261.0,741.673,98407.9,705.26
