Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
0,575615.0,950.689,-7.44366,-7.18279,-0.379555,-2.0841,-0.0284208,3913.22,96114.6,944.625,120992.0,770.22,112871.0,735.131
3,575441.0,953.952,-7.49748,-7.22233,-0.38699,-2.09214,-0.0283615,3967.08,89470.5,950.985,120436.0,772.511,109213.0,731.912
6,571756.0,956.912,-7.50909,-7.22245,-0.403838,-2.08798,-0.0281336,3335.97,87822.6,955.344,115294.0,766.776,106175.0,727.029
9,564425.0,959.071,-7.46799,-7.17501,-0.429315,-2.06995,-0.0277387,2677.39,87255.6,958.504,110636.0,761.332,103392.0,722.668
12,553503.0,960.017,-7.36767,-7.07525,-0.462284,-2.03726,-0.0271856,2001.92,86929.2,959.951,106328.0,756.008,100793.0,718.38
15,539203.0,959.428,-7.20555,-6.92162,-0.501249,-1.98996,-0.0264884,1383.42,91451.3,959.422,102217.0,750.523,98402.5,713.895
18,521926.0,957.115,-6.984,-6.7167,-0.544499,-1.92914,-0.025668,900.602,96510.9,966.975,98912.3,745.966,96481.1,710.358
21,502201.0,953.008,-6.70942,-6.46638,-0.590226,-1.85669,-0.0247488,572.153,101054.0,976.788,97442.9,744.4,95431.1,710.755
24,480633.0,947.15,-6.39125,-6.17893,-0.636678,-1.77504,-0.023757,390.634,106590.0,988.234,97126.3,744.996,94972.4,714.423
27,457848.0,939.676,-6.04064,-5.86404,-0.682286,-1.6869,-0.0227189,359.38,111991.0,998.743,97660.0,747.404,94937.5,719.966
30,434439.0,930.788,-5.6692,-5.53164,-0.725757,-1.59498,-0.0216587,473.098,115112.0,1004.59,99104.6,751.873,95351.2,725.811
33,410943.0,920.726,-5.28798,-5.1912,-0.766128,-1.50178,-0.0205978,682.931,116773.0,1007.69,101009.0,757.468,95906.1,731.417
36,387801.0,909.749,-4.90668,-4.85096,-0.802761,-1.40942,-0.019554,1036.81,118163.0,1010.3,103514.0,764.372,96643.7,736.419
39,365341.0,898.083,-4.53271,-4.51723,-0.83524,-1.32276,-0.0185851,1608.22,118993.0,1011.86,106511.0,772.395,97374.6,740.466
42,343692.0,885.641,-4.16705,-4.1911,-0.862738,-1.23601,-0.0176058,2417.2,119616.0,1013.07,109533.0,780.234,97852.6,743.398
45,323153.0,872.961,-3.81961,-3.8807,-0.885959,-1.15385,-0.0166731,3400.16,120998.0,1015.64,112239.0,786.931,98064.2,745.634
48,303816.0,860.217,-3.49302,-3.58827,-0.905086,-1.07673,-0.0157909,4379.56,123121.0,1019.45,114352.0,791.702,97954.1,747.38
51,285716.0,847.546,-3.18857,-3.31495,-0.920372,-1.00486,-0.0149606,5318.28,125417.0,1023.49,116064.0,794.821,97566.9,748.703
