Crank Angle,Cylinder-Pre,Cylinder-Tem,PistWallHeatFlow,HeadWallHeatFlow,LinerWallHeatFlow,BlowByHeatFlow,BlowBy,TurbinePower,Out-Pre,Out-Tem,Turbine-in-Pre,Turbine-in-Tem,Turbine-out-Pre,Turbine-out-Tem
0,570788.0,925.589,-8.0315,-6.81451,-0.36321,-2.03581,-0.0285568,3230.74,92682.3,919.31,119606.0,756.787,114247.0,723.143
3,570705.0,928.898,-8.08602,-6.85634,-0.370507,-2.04427,-0.0284996,3327.5,85852.2,925.793,118819.0,758.434,110815.0,720.366
6,567162.0,931.95,-8.09656,-6.86125,-0.386855,-2.04096,-0.0282737,2786.43,83925.4,930.295,113905.0,752.811,107553.0,715.428
9,560013.0,934.244,-8.05244,-6.82089,-0.411499,-2.02416,-0.0278801,2257.71,83781.6,933.65,109317.0,747.272,104311.0,710.851
12,549302.0,935.364,-7.94706,-6.73022,-0.44334,-1.99304,-0.0273275,1699.44,84378.8,935.297,105104.0,741.857,101318.0,706.492
15,535233.0,934.986,-7.77783,-6.58736,-0.480935,-1.94757,-0.02663,1191.12,89686.9,934.979,101158.0,736.484,98596.4,702.162
18,518195.0,932.915,-7.54721,-6.39454,-0.522628,-1.88879,-0.0258083,783.94,95863.2,944.458,97886.0,731.824,96308.4,698.253
21,498712.0,929.075,-7.26179,-6.15724,-0.566667,-1.81849,-0.0248868,489.0,101278.0,956.168,96265.3,729.8,94923.9,698.359
24,477380.0,923.506,-6.93125,-5.8834,-0.61135,-1.73907,-0.023892,322.587,107127.0,968.183,95780.5,729.895,94307.0,701.712
27,454820.0,916.337,-6.56703,-5.58235,-0.655154,-1.65316,-0.0228501,294.507,112408.0,978.403,96214.2,731.929,94270.0,707.039
30,431623.0,907.764,-6.18102,-5.26376,-0.696822,-1.56342,-0.0217855,390.388,115273.0,983.749,97447.2,735.795,94673.2,712.718
33,408283.0,897.938,-5.78304,-4.9356,-0.735264,-1.47575,-0.0207691,572.898,116291.0,985.658,99107.0,740.747,95243.1,718.238
36,385185.0,886.969,-5.38072,-4.60409,-0.769545,-1.3848,-0.019714,890.267,116923.0,986.895,101376.0,747.057,96027.2,723.566
39,362769.0,875.316,-4.98619,-4.279,-0.799679,-1.29625,-0.0186894,1396.38,117395.0,987.828,104161.0,754.621,96931.0,728.062
42,341290.0,863.214,-4.60578,-3.96544,-0.82557,-1.21134,-0.0177052,2107.34,117835.0,988.715,106903.0,761.953,97635.9,731.06
45,320908.0,850.869,-4.24386,-3.66694,-0.847289,-1.13089,-0.0167679,3015.84,119066.0,991.034,109341.0,768.175,98072.2,733.114
48,301717.0,838.452,-3.90316,-3.38572,-0.865024,-1.05536,-0.0158812,3941.93,121253.0,994.998,111189.0,772.268,98123.1,734.611
51,283753.0,826.102,-3.58509,-3.12293,-0.879033,-0.984957,-0.0150467,4796.29,123684.0,999.298,112580.0,774.682,97862.3,735.804
54,267013.0,813.926,-3.29006,-2.87889,-0.889619,-0.919693,-0.0142644,5595.9,126040.0,1003.39,113693.0,776.05,97363.8,736.79
57,251470.0,802.01,-3.01786,-2.65344,-0.897123,-0.859457,-0.0135335,6335.52,128399.0,1007.41,114576.0,775.893,96657.7,737.466
60,237003.0,790.149,-2.76442,-2.44338,-0.901133,-0.806069,-0.0128852,7058.71,130574.0,1011.05,115361.0,773.717,95811.8,736.941
63,223622.0,778.575,-2.53138,-2.24998,-0.902482,-0.754882,-0.0122477,7856.26,132084.0,1013.55,116262.0,769.141,94912.4,734.805
66,211301.0,767.43,-2.31887,-2.07336,-0.901829,-0.70807,-0.0116566,8806.11,133342.0,1015.65,117429.0,761.811,93993.1,730.721
69,199972.0,756.735,-2.12547,-1.91235,-0.899496,-0.665321,-0.0111093,9912.45,134692.0,1017.87,118961.0,750.698,93147.2,724.278
72,189559.0,746.462,-1.94933,-1.7655,-0.895664,-0.626269,-0.010603,10968.7,136085.0,1020.14,120949.0,738.42,92859.4,717.443
75,180022.0,736.687,-1.78986,-1.63231,-0.890862,-0.590502,-0.0101319,11933.8,137468.0,1022.37,123153.0,730.133,93112.6,713.295
78,171299.0,727.408,-1.64566,-1.51167,-0.885351,-0.556238,-0.00966734,12891.7,138931.0,1024.71,125316.0,725.435,93543.2,711.253
81,163328.0,718.619,-1.51536,-1.40247,-0.879358,-0.523138,-0.00920477,13656.6,140135.0,1026.6,127056.0,723.667,94085.3,710.814
84,156077.0,710.342,-1.39813,-1.30406,-0.873273,-0.491266,-0.00874606,13946.9,140577.0,1027.32,128470.0,724.077,95223.6,711.591
87,149571.0,702.667,-1.29405,-1.21655,-0.867902,-0.460965,-0.00829749,13713.8,140573.0,1027.38,129809.0,725.539,97196.3,712.724
90,143697.0,695.425,-1.20036,-1.1377,-0.862772,-0.432747,-0.00787047,13141.8,140467.0,1027.3,131209.0,727.692,99759.9,713.385
93,138348.0,688.589,-1.11556,-1.06625,-0.857687,-0.404609,-0.0074309,12405.8,140423.0,1027.31,132561.0,730.203,102580.0,712.73
96,133473.0,682.206,-1.03919,-1.00179,-0.852865,-0.377316,-0.00699369,11548.0,140181.0,1027.0,133505.0,732.802,105426.0,710.469
99,129025.0,676.242,-0.970271,-0.943522,-0.848285,-0.350718,-0.00655732,10532.4,139478.0,1025.96,134085.0,735.655,108358.0,710.028
102,124962.0,670.671,-0.907986,-0.89078,-0.843949,-0.324681,-0.00612031,9389.65,138396.0,1024.32,134484.0,739.0,111298.0,711.281
105,121248.0,665.469,-0.851639,-0.842995,-0.839866,-0.299062,-0.00568092,8302.74,137014.0,1022.18,134530.0,742.458,113761.0,713.179
108,117856.0,660.62,-0.800653,-0.799692,-0.836056,-0.273712,-0.00523709,7429.76,134797.0,1018.66,133426.0,744.723,114780.0,713.937
111,114755.0,656.102,-0.754489,-0.760428,-0.83252,-0.248435,-0.0047858,6685.36,131262.0,1012.91,131175.0,745.561,114568.0,713.747
114,111920.0,651.897,-0.712653,-0.724797,-0.829245,-0.222971,-0.00432269,5883.46,126940.0,1005.7,128421.0,746.158,113913.0,713.259
117,109329.0,647.987,-0.674735,-0.69246,-0.82623,-0.196978,-0.00384155,5028.09,122776.0,998.578,125450.0,745.969,112939.0,712.151
120,106963.0,644.364,-0.640408,-0.663148,-0.823497,-0.169953,-0.00333296,4232.02,118783.0,991.561,121834.0,744.285,111200.0,709.861
123,104809.0,641.021,-0.60943,-0.636659,-0.821097,-0.141062,-0.00278068,3525.39,114149.0,983.14,117444.0,740.855,108694.0,706.08
126,102854.0,637.958,-0.581594,-0.612825,-0.819084,-0.108551,-0.00215002,2887.78,108581.0,972.598,112781.0,736.403,105840.0,701.512
129,101086.0,635.163,-0.55665,-0.591438,-0.817466,-0.0668983,-0.00133084,2248.35,103323.0,962.184,108386.0,731.779,103034.0,696.907
132,99491.0,632.611,-0.534278,-0.572236,-0.816191,0.0455989,0.00091081,1610.29,98894.8,632.611,104216.0,726.948,100351.0,692.282
135,98053.4,630.267,-0.51412,-0.55493,-0.81516,0.0882711,0.00176989,1051.79,94514.7,630.261,100543.0,722.424,98020.5,687.89
138,96759.4,628.092,-0.495809,-0.53922,-0.81425,0.112826,0.0022705,647.366,91938.0,628.073,98109.6,719.56,96408.8,685.472
141,95598.9,626.053,-0.47905,-0.524871,-0.813371,0.130338,0.00263235,364.835,92208.2,626.029,96689.7,718.228,95380.2,685.77
144,94563.4,624.121,-0.463591,-0.511677,-0.812445,0.143679,0.00291228,210.951,93615.9,624.108,95970.7,718.087,94742.0,688.779
147,93650.0,622.281,-0.449286,-0.499527,-0.811466,0.154096,0.00313487,162.453,94667.9,891.636,95935.6,719.28,94526.2,694.075
150,92856.6,620.539,-0.436135,-0.488416,-0.810496,0.162288,0.00331369,209.812,98053.1,899.642,97006.9,722.772,95074.1,700.305
